Track_ID,Document Title,Authors,Publication Title,Publication Year,DOI,CATEGORY
O_ISAC_165,Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication,H. Luo; N. Xu; S. Wang; H. Kuang; H. Ge; X. Li; B. Jia,Optics Communications,2026,10.1016/j.optcom.2025.132782,WIRELESS
O_ISAC_166,An integrated sensing and communication solar skin for health monitoring and human–machine interaction,J. Li; J. Tao; C. Ge; C. Xu; J. Wang; Z. Xu; H. Wang; Q. Xu; H. Zhao; C. Zhang; W. Gui; W. Gao; X. Liang; X. Xu; W. Ding,Nano Energy,2026,10.1016/j.nanoen.2025.111639,WIRELESS
O_ISAC_167,Multi-service integrated sensing and communication system for industrial internet-of-things,J. Shen; J. Fan; M. Li; Y. Fei; T. Fu; M. Gao,Optics and Lasers in Engineering,2026,10.1016/j.optlaseng.2025.109470,FIBER
O_ISAC_168,"Space-Frequency Switching MIMO-OFDM ISAC Systems: Architecture, Radar Imaging Algorithm, and Testbed Experiments",K.I. Lee; J. Myung Shin; S. Young Park; K.W. Choi,IEEE Internet of Things Journal,2025,10.1109/JIOT.2025.3617471,WIRELESS
O_ISAC_169,Terahertz asynchronous twin-comb for prefiguring hypersensitivity beyond spectrum domain,L. Ma; F. Fan; J. Feng; P. Shen; C. Song; Y. Ji; X. Wang; S. Chang,Nature Communications,2025,10.1038/s41467-025-63513-z,WIRELESS
O_ISAC_170,Research on optical sideband signal wavefront damage repair technology in optical fibers,X. Zhang; Y. Ge; Y. Gu; W. Lian; J. Hu; M. Zhao,Optics Communications,2025,10.1016/j.optcom.2025.132474,FIBER
O_ISAC_171,Frequency-comb-steered ultrawideband quasi-true-time-delay beamformer for integrated sensing and communication,M. Wang; W. Zhang; Z. Ren; S. Li; X. Zheng; X. Xue,Nature Communications,2025,10.1038/s41467-025-62854-z,WIRELESS
O_ISAC_172,Joint break-point localization sensing based on OFDR and non-disruptive communication fiber ISAC system,M. Ma; M. Bi; M. Xu; Y. Zhang; J. Luo; X. Zhou; L. Zhang; M. Hu,Optics and Laser Technology,2025,10.1016/j.optlastec.2025.113726,FIBER
O_ISAC_173,Poster: High-Performance Optical Camera Communications for ISAC Localization and Sensing,L.-W. Chia; M. Motani,,2025,10.1145/3680207.3765690,WIRELESS
O_ISAC_174,A Unified OFDM-ISAC Signal Generation Architecture in W-Band via Photonics-Aided Frequency Multiplication and Phase Noise Mitigation,K. Deng; J. Liu; X. Lu; J. Chen; Y. Zhou; W. Li,Photonics,2025,10.3390/photonics12111052,WIRELESS
O_ISAC_175,Performance Analysis for Integrated Sensing and Communication Systems in Rainfall Scenarios,S. Huang; J. Li; J. Cao; S. Fu; Y. Jin; S. Zhang,Atmosphere,2025,10.3390/atmos16111249,WIRELESS
O_ISAC_176,Real-time integrated 1.74 cm range resolution and 16.14 Gbps bidirectional wireless communication in photonic-assisted terahertz band systems over 80 m,Q. Wang; W. Zhou; S. Xu; S. Wang; J. Zhang; X. Lu; J. Chen; C. Bian; J. Lin; J. Ge; Z. Ou; T. Wang; Y. Ma; T. Zhang; W. Li; K. Wang; J. Yu,Optics Letters,2025,10.1364/OL.577101,WIRELESS
O_ISAC_177,Development of a Frequency Agile RF-Photonic Digital Transceiver,J.E. Gilligan; A.B. Voshell; D.M. Moody; N.S. Tomasello; S.R. O Connor; T.R. Clark,Journal of Lightwave Technology,2025,10.1109/JLT.2025.3612848,WIRELESS
O_ISAC_178,Review of 6G Wireless Communication System With Artificial Intelligence,S. Suman; B. Geetha Rani; A.V. Prabu; A. Mukherjee; S. Jha; K.C.T. Swamy,Internet Technology Letters,2025,10.1002/itl2.70127,WIRELESS
O_ISAC_179,Noninvasive sub-terahertz glucose monitoring using communication-inspired eye diagram analysis,W. Lee; S. Kim; H. Park; J.K. Lee; S.-H. Cho,Proceedings of SPIE - The International Society for Optical Engineering,2025,10.1117/12.3071960,WIRELESS
O_ISAC_180,Integrated Terahertz FMCW Radar and FSK Communication Enabled by High-Speed Wavelength Tunable Lasers,R. Kaide; S. Ye; Y. Wang; Y. Mikami; Y. Ueda; K. Kato,Photonics,2025,10.3390/photonics12100977,WIRELESS
