Date,Title,Year,DOI,Decision, Reason
2025-12-28,Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication,2026,10.1016/j.optcom.2025.132782,Unscreened,Scopus New (ID: O_ISAC_165)
2025-12-28,An integrated sensing and communication solar skin for health monitoring and human–machine interaction,2026,10.1016/j.nanoen.2025.111639,Unscreened,Scopus New (ID: O_ISAC_166)
2025-12-28,Multi-service integrated sensing and communication system for industrial internet-of-things,2026,10.1016/j.optlaseng.2025.109470,Unscreened,Scopus New (ID: O_ISAC_167)
2025-12-28,"Space-Frequency Switching MIMO-OFDM ISAC Systems: Architecture, Radar Imaging Algorithm, and Testbed Experiments",2025,10.1109/JIOT.2025.3617471,Unscreened,Scopus New (ID: O_ISAC_168)
2025-12-28,Terahertz asynchronous twin-comb for prefiguring hypersensitivity beyond spectrum domain,2025,10.1038/s41467-025-63513-z,Unscreened,Scopus New (ID: O_ISAC_169)
2025-12-28,Research on optical sideband signal wavefront damage repair technology in optical fibers,2025,10.1016/j.optcom.2025.132474,Unscreened,Scopus New (ID: O_ISAC_170)
2025-12-28,Frequency-comb-steered ultrawideband quasi-true-time-delay beamformer for integrated sensing and communication,2025,10.1038/s41467-025-62854-z,Unscreened,Scopus New (ID: O_ISAC_171)
2025-12-28,Joint break-point localization sensing based on OFDR and non-disruptive communication fiber ISAC system,2025,10.1016/j.optlastec.2025.113726,Unscreened,Scopus New (ID: O_ISAC_172)
2025-12-28,Poster: High-Performance Optical Camera Communications for ISAC Localization and Sensing,2025,10.1145/3680207.3765690,Unscreened,Scopus New (ID: O_ISAC_173)
2025-12-28,A Unified OFDM-ISAC Signal Generation Architecture in W-Band via Photonics-Aided Frequency Multiplication and Phase Noise Mitigation,2025,10.3390/photonics12111052,Unscreened,Scopus New (ID: O_ISAC_174)
2025-12-28,Performance Analysis for Integrated Sensing and Communication Systems in Rainfall Scenarios,2025,10.3390/atmos16111249,Unscreened,Scopus New (ID: O_ISAC_175)
2025-12-28,Optical Camera-Based Integrated Sensing and Communication for V2X Applications: Model and Optimization,2025,10.3390/s25227061,Duplicate,Already in database
2025-12-28,Real-time integrated 1.74 cm range resolution and 16.14 Gbps bidirectional wireless communication in photonic-assisted terahertz band systems over 80 m,2025,10.1364/OL.577101,Unscreened,Scopus New (ID: O_ISAC_176)
2025-12-28,Development of a Frequency Agile RF-Photonic Digital Transceiver,2025,10.1109/JLT.2025.3612848,Unscreened,Scopus New (ID: O_ISAC_177)
2025-12-28,Review of 6G Wireless Communication System With Artificial Intelligence,2025,10.1002/itl2.70127,Unscreened,Scopus New (ID: O_ISAC_178)
2025-12-28,Noninvasive sub-terahertz glucose monitoring using communication-inspired eye diagram analysis,2025,10.1117/12.3071960,Unscreened,Scopus New (ID: O_ISAC_179)
2025-12-28,Integrated Terahertz FMCW Radar and FSK Communication Enabled by High-Speed Wavelength Tunable Lasers,2025,10.3390/photonics12100977,Unscreened,Scopus New (ID: O_ISAC_180)
2025-12-28,End-to-End Constellation Mapping and Demapping for Integrated Sensing and Communications,2025,10.3390/electronics14204070,Unscreened,Scopus New (ID: O_ISAC_181)
2025-12-28,Research on period-one photonic microwave scheme for integrated communication and sensing system,2025,10.1117/12.3086963,Unscreened,Scopus New (ID: O_ISAC_182)
2025-12-28,Scalable AI-assisted optical radio environment map estimation for indoor visible light communication systems (AI-VLCmaps),2025,10.1117/12.3065355,Unscreened,Scopus New (ID: O_ISAC_183)
2025-12-28,Photonics-aided integrated sensing and communication system in W-band using probabilistic shaping DMT waveform with full-frequency utilization,2025,10.1364/OL.566191,Unscreened,Scopus New (ID: O_ISAC_184)
2025-12-28,Adaptive visible light integrated sensing and communication for cable-free virtual reality,2025,10.1364/PRJ.561888,Unscreened,Scopus New (ID: O_ISAC_185)
2025-12-28,Chaotic optoelectronic oscillators-based dual-function radar-communication system,2025,10.1007/s11432-024-4369-2,Unscreened,Scopus New (ID: O_ISAC_186)
2025-12-28,Multi-Modal Integrated Sensing and Communication in Internet of Things With Large Language Models,2025,10.1109/MIOT.2025.3575888,Duplicate,Already in database
2025-12-28,Photonic-aided Doppler-robust ISAC system based on index modulation and chirp multiplexing,2025,10.1364/OE.564416,Unscreened,Scopus New (ID: O_ISAC_187)
2025-12-28,Endogenous integration of communication and interference fading free sensing using telecom pilots via joint polarization-fraction domain multiplexing,2025,10.1364/OE.563557,Unscreened,Scopus New (ID: O_ISAC_188)
2025-12-28,Integrated ultra-large dynamic vibration sensing with fronthaul analog radio-over-fiber transmission,2025,10.1364/PRJ.553098,Unscreened,Scopus New (ID: O_ISAC_189)
2025-12-28,Common bias-digital subcarrier multiplexing scheme for integrated sensing and communication in short-reach optical transmission systems,2025,10.1364/OE.565431,Unscreened,Scopus New (ID: O_ISAC_190)
2025-12-28,"6G Internet-of-Things assisted smart homes and buildings: Enabling technologies, opportunities and challenges",2025,10.1016/j.iot.2025.101658,Unscreened,Scopus New (ID: O_ISAC_191)
2025-12-28,Photonic heterodyne mixing for angle of arrival estimation without direction ambiguity,2025,10.1016/j.optcom.2025.131810,Unscreened,Scopus New (ID: O_ISAC_192)
2025-12-28,Co-wavelength-channel integration of ultra-low-frequency distributed acoustic sensing and high-capacity communication,2025,10.1364/PRJ.551958,Duplicate,Already in database
2025-12-28,An enhanced 6G pervasive channel model towards standardization,2025,10.1007/s11432-025-4419-9,Unscreened,Scopus New (ID: O_ISAC_193)
2025-12-28,Controlled synthesis of samarium iron oxide for dual-function laser and radar stealth applications,2025,10.1016/j.jallcom.2025.180926,Unscreened,Scopus New (ID: O_ISAC_194)
2025-12-28,Integrated sensing and communication system based on a photonic integrated broadband multi-beamformer,2025,10.1364/OE.555053,Unscreened,Scopus New (ID: O_ISAC_195)
2025-12-28,Photonic Generation of Joint Amplitude-Frequency Modulated Waveform for THz Integrated Sensing and Communication,2025,10.1002/mop.70216,Unscreened,Scopus New (ID: O_ISAC_196)
2025-12-28,Microcomb-synchronized optoelectronics,2025,10.1038/s41928-025-01349-7,Unscreened,Scopus New (ID: O_ISAC_197)
2025-12-28,Microwave photonics promotes emerging integrated sensing and communication technology,2025,10.1063/5.0225373,Unscreened,Scopus New (ID: O_ISAC_198)
2025-12-28,"Towards last-mile connectivity in 6G-IoT: An integrated MIMO-FSO communication system and FBG sensors under atmospheric attenuations, strain and temperature effects",2025,10.1016/j.jestch.2025.101958,Unscreened,Scopus New (ID: O_ISAC_199)
2025-12-28,Machine learning opportunities for integrated polarization sensing and communication in optical fibers,2025,10.1016/j.yofte.2024.104047,Unscreened,Scopus New (ID: O_ISAC_200)
2025-12-28,Recent Advances in Integrated Vibration Sensing and Communication in Digital Subcarrier Multiplexing Systems,2025,10.3390/photonics12030290,Unscreened,Scopus New (ID: O_ISAC_201)
2025-12-28,Integrated optical covert sensing and communication,2025,10.3788/COL202523.020602,Unscreened,Scopus New (ID: O_ISAC_202)
2025-12-28,High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,2025,10.1002/adfm.202412813,Unscreened,Scopus New (ID: O_ISAC_203)
