"FullName","Name","Size","Attributes","TotalLines","DataRows","Status","Message"
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\arsiv\TezHazırlık\PIDworks\ArduMain.csv","ArduMain.csv","44628","4199968","1","0","ok",""
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\arsiv\TezHazırlık\PIDworks\ArduOut.csv","ArduOut.csv","32934","4199968","1","0","ok",""
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\arsiv\TezHazırlık\PIDworks\ArduResearch.csv","ArduResearch.csv","28647","4199968","1","0","ok",""
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\arsiv\TezHazırlık\PIDworks\Ardu_Exper.csv","Ardu_Exper.csv","31175","4199968","1","0","ok",""
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\arsiv\TezHazırlık\PIDworks\Ardu_Inter.csv","Ardu_Inter.csv","36086","4199968","1","0","ok",""
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\arsiv\TezHazırlık\PIDworks\Ardı_Algo.csv","Ardı_Algo.csv","26968","4199968","1","0","ok",""
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\arsiv\TezHazırlık\PIDworks\PID_Ardu.csv","PID_Ardu.csv","3246","4199968","1","0","ok",""
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\arsiv\TezHazırlık\PIDworks\temiz\Kitap1.csv","Kitap1.csv","178613","4199968","2","1","ok",""
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\Kodlama_wsl\GLOBECOM2024.csv","GLOBECOM2024.csv","2101383","4199968","1","0","ok",""
"C:\Users\fdonmez\OneDrive - ASKERİ FABRİKA VE TERSANE İŞLETME A.Ş (ASFAT)\kisiselAlan\AKU_Doktora\Kodlama_wsl\ICNC2025.csv","ICNC2025.csv","332146","4199968","1","0","ok",""
