track_id,phase2_source,doi,publication_year,category,present_in_final_corpus,present_in_retrieved_docs,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,provisional_reconstruction_status,notes
O_ISAC_001,phase2_extraction_dataset,10.1109/ICTON67126.2025.11125210,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_002,phase2_extraction_dataset,,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_003,phase2_extraction_dataset,10.1109/WCNC61545.2025.10978645,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_004,phase2_extraction_dataset,10.1109/ICOCN67308.2025.11145535,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_005,phase2_extraction_dataset,10.1109/WCNC61545.2025.10978163,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_006,phase2_extraction_dataset,10.1109/ICCT62411.2024.10946617,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_007,phase2_extraction_dataset,10.1109/ICOCN67308.2025.11145514,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_008,phase2_extraction_dataset,10.23919/OECC/PSC62146.2025.11111436,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_009,phase2_extraction_dataset,10.1109/JSAC.2025.3543532,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_010,phase2_extraction_dataset,10.1109/ICWOC65853.2025.11150794,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_011,phase2_extraction_dataset,10.1109/ACP/IPOC63121.2024.10809915,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_012,phase2_extraction_dataset,10.1109/ACP/IPOC63121.2024.10809937,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_013,phase2_extraction_dataset,10.1109/JSEN.2025.3554542,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_014,phase2_extraction_dataset,10.1109/ICOCN63276.2024.10648387,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_015,phase2_extraction_dataset,10.1109/LWC.2024.3521192,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_016,phase2_extraction_dataset,10.1109/ICOCN63276.2024.10648485,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_017,phase2_extraction_dataset,,2022,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_018,phase2_extraction_dataset,10.1109/JLT.2025.3555486,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_019,phase2_extraction_dataset,10.1109/ACP/IPOC63121.2024.10809573,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_020,phase2_extraction_dataset,10.1109/MCOM.002.2200191,2022,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_021,phase2_extraction_dataset,10.1109/IOTM.001.2300196,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_022,phase2_extraction_dataset,10.1109/TBC.2022.3201649,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_023,phase2_extraction_dataset,10.1109/JIOT.2024.3469279,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_024,phase2_extraction_dataset,10.23919/OECC/PSC62146.2025.11111272,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_025,phase2_extraction_dataset,,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_026,phase2_extraction_dataset,10.1109/ACP55869.2022.10088790,2022,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_027,phase2_extraction_dataset,10.1109/JSEN.2025.3579715,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_028,phase2_extraction_dataset,10.1109/ICWOC62055.2024.10684954,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_029,phase2_extraction_dataset,10.1109/TMTT.2025.3549729,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_030,phase2_extraction_dataset,10.1109/TMC.2025.3545340,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_031,phase2_extraction_dataset,10.1109/ACP/IPOC63121.2024.10810000,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_032,phase2_extraction_dataset,10.1109/JSEN.2024.3501256,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_033,phase2_extraction_dataset,,2022,FIBER,yes,yes,yes,no,included_final_corpus,
