entry_type,sheet_name,field_name,code_group,code,label_or_definition,decision_rule,data_type,required_stage,missing_rule,rq_mapping,phase_boundary,schema_version
field,01_STUDY_MASTER,study_cluster_id,,,Locked Phase B study-level primary key.,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,canonical_screening_record_id,,,Canonical report identifier from the final Phase B cluster register.,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,primary_extraction_screening_record_id,,,Designated eligible report used as the first extraction source.,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,eligible_report_count,,,Number of include_primary reports mapped to the study.,Complete during extraction when applicable; do not infer unsupported content.,number,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,known_lineage_report_count,,,"All known reports/versions in the Phase B cluster, including non-primary lineage.",Complete during extraction when applicable; do not infer unsupported content.,number,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,retrieved_272_lineage_report_count,,,retrieved 272 lineage report count,Complete during extraction when applicable; do not infer unsupported content.,number,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,noneligible_or_external_lineage_count,,,noneligible or external lineage count,Complete during extraction when applicable; do not infer unsupported content.,number,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,all_known_screening_record_ids,,,all known screening record ids,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,all_eligible_screening_record_ids,,,all eligible screening record ids,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,all_report_roles,,,all report roles,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,relation_codes,,,relation codes,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,batch_primary,,,batch primary,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,preferred_citation,,,preferred citation,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,title,,,title,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,authors,,,authors,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,year,,,year,Complete during extraction when applicable; do not infer unsupported content.,number,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,venue,,,venue,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,doi,,,doi,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,publication_available_date,,,publication available date,Complete during extraction when applicable; do not infer unsupported content.,date_or_iso_text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,document_type,,,document type,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,database_sources,,,database sources,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
