paper_id,title,doi,section_type,word_count,sentence_count,paragraph_count,mean_sentence_words,median_sentence_words,p75_sentence_words,max_sentence_words,long_sentence_ratio_35,very_long_sentence_ratio_45,mean_paragraph_words,median_paragraph_words,p75_paragraph_words,max_paragraph_words,citations_per_100_words,numbers_per_100_words,transitions_per_100_words,first_person_per_100_words,method_terms_per_100_words,hype_terms_per_100_words,acronyms_per_100_words,parentheticals_per_100_words,commas_per_sentence,semicolons_per_100_words,list_heavy_sentence_ratio,questions,has_related_surveys,has_contributions,has_organization,has_scope_statement
00_ABSTRACT,00_ABSTRACT.tex,,abstract,250,10,2,24.9,24.0,30.25,33,0.0,0.0,125,125.0,180.5,236,0.0,5.2,0.0,0.8,0.4,0.0,2.4,1.2,2.4,0.8,0.4,1,False,False,False,False
01_INTRODUCTION,01_INTRODUCTION.tex,,introduction,521,27,12,19.296,19,23.0,31,0.0,0.0,43.417,41.0,64.0,104,1.727,1.344,0.384,0.0,0.0,0.0,1.344,0.384,1.481,0.0,0.2222,0,True,False,True,True
02_FOUNDATIONS_AND_COMPARISON_FRAMEWORK,02_FOUNDATIONS_AND_COMPARISON_FRAMEWORK.tex,,main_body,719,46,12,15.63,15.0,19.0,26,0.0,0.0,59.917,57.5,67.75,96,0.695,0.0,0.417,0.139,0.0,0.0,1.947,0.974,1.435,0.0,0.2391,0,False,False,False,True
03_REVIEW_METHOD_AND_EVIDENCE_BASE,03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex,,main_body,650,35,10,18.571,18,23.5,31,0.0,0.0,65,68.5,92.25,104,0.154,2.462,0.615,0.923,1.846,0.0,2.462,0.308,1.114,0.462,0.1429,0,False,True,False,True
04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex,,main_body,2186,124,29,17.629,17.0,21.0,39,0.0242,0.0,75.379,75,94.0,129,2.47,1.052,0.686,0.046,0.046,0.0,0.503,0.091,2.016,0.046,0.3387,0,False,False,False,True
05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex,,main_body,3506,226,48,15.513,16.0,19.0,30,0.0,0.0,73.042,75.0,86.0,115,2.567,0.228,0.342,0.0,0.029,0.0,1.398,0.057,1.235,0.0,0.1991,0,False,False,False,True
06_VALIDATION_REPRODUCIBILITY_AND_BENCHMARK_READINESS,06_VALIDATION_REPRODUCIBILITY_AND_BENCHMARK_READINESS.tex,,main_body,1300,81,22,16.049,15,20.0,36,0.0123,0.0,59.091,60.5,72.75,86,0.538,2.462,0.231,0.0,0.231,0.0,1.308,0.0,1.21,0.0,0.2222,0,False,False,False,False
07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G,07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex,,main_body,1424,97,20,14.68,15,18.0,29,0.0,0.0,71.2,71.5,79.25,94,2.107,1.615,0.281,0.0,0.211,0.0,0.702,0.0,1.124,0.0,0.1753,0,False,False,False,True
08_DISCUSSION_ROADMAP_AND_LIMITATIONS,08_DISCUSSION_ROADMAP_AND_LIMITATIONS.tex,,conclusion,802,56,15,14.321,14.0,18.0,25,0.0,0.0,53.467,54,65.0,104,0.374,1.372,0.249,0.0,1.247,0.0,0.998,0.0,1.107,0.0,0.2143,0,False,False,False,True
09_CONCLUSION,09_CONCLUSION.tex,,conclusion,106,5,2,21.2,22,24.0,25,0.0,0.0,53,53.0,58.5,64,0.0,0.943,0.943,0.0,0.943,0.0,1.887,0.0,3.4,0.0,0.6,0,False,False,False,False
