study_cluster_id,canonical_screening_record_id,primary_extraction_screening_record_id,eligible_report_count,all_eligible_screening_record_ids,title,authors,year,venue,doi,preferred_citation,document_type,source_url,primary_optical_modality_code,integration_level_code,integration_mechanism_codes,communication_functions,sensing_tasks,waveform_modulation,optical_front_end,network_setting,validation_type_codes,scenario_environment,application_domain_codes,enabling_technology_codes,six_g_relevance_code,dataset_availability_status,code_model_availability_status,canonical_modality,validation_maturity_max,canonical_validation_categories,canonical_six_g_relevance,canonical_dataset_availability,canonical_code_model_availability,comparability_categories,admissibility_categories,candidate_bib_key,existing_bib_match_status,existing_bib_key,existing_bib_title,existing_bib_doi,canonical_integration_mechanisms,canonical_validation_types,canonical_enabling_technologies,canonical_application_domains
STC-SINGLETON-SCR-00001,SCR-00001,SCR-00001,1,SCR-00001,High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.,2025,Advanced Functional Materials,10.1002/adfm.202412813,,Article,https://www.scopus.com/pages/publications/85202843217?origin=resultslist,VLC_LiFi,system,shared_hardware|shared_application_scenario,data_transmission,health_vital_sign_sensing,Square-wave/ASCII-coded visible and NIR LED signals; real-time audio transmission is demonstrated in supplementary videos. No BER or net data rate is reported in the primary PDF.,"Flexible self-powered regular Com-OPD (1.0 x 1.0 mm device, 1.0 mm2 effective area) plus semitransparent Sen-OPD (3.0 x 3.0 mm device, 6.0 mm2 effective area) using PCE-10:BTPSV-4F with 30% BTPSV-4Cl and ultrathin Ag/MoOx electrode.","Short-range wearable optical wireless link and photoplethysmography under ambient visible light, sunlight and 950 nm NIR illumination.",laboratory_experiment|prototype_testbed,"Controlled device and wearable laboratory tests under ambient light (0.45-3.17 mW cm-2), sunlight (0.03-0.8 sun) and 950 nm NIR light, including finger-mounted bending at 7.5 mm radius.",healthcare|other,photonic_integration|other,inferred,supplementary,NR,VLC_LiFi,5,controlled_prototype|laboratory_experiment,inferred,open,unavailable_or_NR,workflow_blank,workflow_blank,OISAC_SCR00001,doi_exact,O_ISAC_203,High‐Speed Flexible Near‐Infrared Organic Photodetectors for Self‐Powered Optical Integrated Sensing and Communications,10.1002/adfm.202412813,shared_hardware|shared_application_scenario,laboratory_experiment|prototype_testbed,photonic_integration,healthcare
STC-SINGLETON-SCR-00002,SCR-00002,SCR-00002,1,SCR-00002,Integrated Optical Sensing and Communication (IOSAC) System Based on Hybrid-Waveguide Structures,Ou X.; Qiu Y.; Luo M.; Li J.; He X.; Gao J.; Sun F.; Zhang P.; Yang G.; Du A.; Li B.; Liu Z.; Li Z.; Xie L.; Xiao X.; Luo J.; Wang W.; Tao J.; Yang Y.,2024,Advanced Materials Technologies,10.1002/admt.202300998,,Article,https://www.scopus.com/pages/publications/85178243828?origin=resultslist,fiber,system,shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization,data_transmission,environmental_perception,"1.25 Gbit/s OOK, 2^31-1 PRBS, broadband ASE source filtered to 5 nm.","Silicon-nitride hybrid strip/slot microring resonator, EDFA-amplified ASE source, >10 km fiber link, photodetector and BER/eye-diagram receiver.",Long-haul fiber link with an integrated refractive-index/NaCl-concentration sensing element.,laboratory_experiment|prototype_testbed|numerical_analysis,Laboratory silicon-nitride photonic chip with NaCl solutions of varying concentration and fiber transmission exceeding 10 km.,industrial|environment_monitoring,photonic_integration|other,inferred,on_request,NR,fiber,5,controlled_prototype|laboratory_experiment|simulation,inferred,on_request,unavailable_or_NR,workflow_blank,workflow_blank,OISAC_SCR00002,missing_from_current_bib,,,,shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization,numerical_analysis|laboratory_experiment|prototype_testbed,photonic_integration,industrial|environment_monitoring
STC-SINGLETON-SCR-00007,SCR-00007,SCR-00007,1,SCR-00007,OFDM-based optical integrated sensing and communication framework using embedded pilot subcarriers,Ahmed M.F.; Mondal R.U.; Kabir M.; Rahman A.M.A.,2026,Optics Continuum,10.1364/optcon.595843,"Ahmed, M. F., Mondal, R. U., Kabir, M. H., & Rahman, A. M. A. (2026). OFDM-based optical integrated sensing and communication framework using embedded pilot subcarriers. Optics Continuum, 5(6), 1706–1720. https://doi.org/10.1364/OPTCON.595843",Article,https://www.scopus.com/pages/publications/105042064596?origin=resultslist,fiber,link,shared_waveform|shared_link_or_channel|shared_resource_allocation,data_transmission|channel_estimation,channel_sensing,"64-subcarrier OFDM; 56 data + 8 pilots at indices 8,16,24,32,40,48,56,64; Gray-coded 16-QAM; 16-sample CP (25%); 100 symbols.",1550 nm CW laser; MZM Vπ=4 V at quadrature bias; coherent receiver with 90° hybrid and balanced detection; 8-bit DAC/ADC at 10 GSa/s.,Short-reach coherent optical fiber link (<10 km).,simulation|analytical,Intra-datacenter links <2 km; optical access-network segments <10 km.,datacenter|optical_access_network,OFDM|coherent_optics,inferred,on_request,on_request,fiber,2,analytical_theoretical|simulation,inferred,on_request,on_request,conditional|direct|not_comparable,admissible|conditional|not_admissible,OISAC_SCR00007,missing_from_current_bib,,,,shared_waveform|shared_link_or_channel|shared_resource_allocation,analytical|simulation,OFDM|coherent_optics,datacenter|optical_access_network
STC-SINGLETON-SCR-00008,SCR-00008,SCR-00008,1,SCR-00008,Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited],Liu F.; Zhu G.; Zhou X.,2026,Chinese Optics Letters,10.3788/col202624.030006,"Liu, F., Zhu, G., & Zhou, X. (2026). Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]. Chinese Optics Letters, 24(3), 030006. https://doi.org/10.3788/COL202624.030006",Article,https://www.scopus.com/pages/publications/105034627184?origin=resultslist,fiber,system,shared_hardware|shared_link_or_channel|shared_application_scenario,data_transmission,vibration_sensing|localization|monitoring,Sensing: continuous-wave coherent phase sensing with three AOM-shifted tones and a laser-phase-noise reference; communication: PAM4 intensity modulation/direct detection at 20 Gb/s.,"Sensing DBR TL5600AN or comparator NKT X15 UNLL, circulators, optical couplers, AOMs, two 2-km delay fibers, balanced photodetector and DAQ; communication DFB laser, MZM, AWG, WDM, EDFA, VOA, high-speed PD and oscilloscope.",Controlled optical-bench experiment over an unamplified 90-km fiber link assembled from 50-km and 40-km coils; PZT event source at their connection.,mixed,Laboratory optical platform with 90 km of fiber coils and a PZT-generated single-cycle vibration; no deployed-field validation.,environment_monitoring|smart_infrastructure,coherent_optics|fiber_DAS|other,inferred,NR,NR,fiber,2,mixed_unspecified,inferred,unavailable_or_NR,unavailable_or_NR,conditional|descriptive_only|not_comparable,conditional|insufficient_information|not_admissible,OISAC_SCR00008,missing_from_current_bib,,,,shared_hardware|shared_link_or_channel|shared_application_scenario,mixed,coherent_optics|fiber_DAS,environment_monitoring|smart_infrastructure
STC-SINGLETON-SCR-00009,SCR-00009,SCR-00009,1,SCR-00009,Optical integrated sensing and communication (O-ISAC): A unified framework for 6G and AI-Powered intelligent networks,Bansal A.; Bhatnagar A.; Sharma V.; Sharma N.,2026,Journal of Optical Communications,10.1515/joc-2026-0007,,Article,https://www.scopus.com/pages/publications/105029108524?origin=resultslist,hybrid_optical,multi_level,shared_waveform|shared_hardware|shared_resource_allocation|joint_design_or_optimization,data_transmission|resource_allocation|network_access,localization|detection|imaging|environmental_perception,Conceptual adaptive optical waveform and resource sharing; no complete waveform parameterization reported.,Proposed hybrid photonic front end spanning optical wireless/fiber concepts and integrated photonic devices; hardware bill of materials NR.,Proposed multi-layer 6G O-ISAC network architecture with AI-based orchestration and distributed optical nodes.,numerical_analysis|simulation,"Conceptual comparison with RF-ISAC; simulation scenarios, datasets, seeds and implementation settings are not specified.",smart_infrastructure|industrial|vehicular|healthcare,ML_AI|photonic_integration|other,direct,on_request,on_request,hybrid_optical,2,simulation,direct,on_request,on_request,descriptive_only,insufficient_information,OISAC_SCR00009,missing_from_current_bib,,,,shared_waveform|shared_hardware|shared_resource_allocation|joint_design_or_optimization,numerical_analysis|simulation,photonic_integration|ML_AI,vehicular|industrial|healthcare|smart_infrastructure
STC-SINGLETON-SCR-00011,SCR-00011,SCR-00011,1,SCR-00011,Retroreflective optical ISAC using OFDM: channel modeling and performance analysis,Cui Y.; Chen C.; Cai Y.; Zeng Z.; Liu M.; Ye J.; Shao S.; Haas H.,2024,Optics Letters,10.1364/ol.528029,,Article,https://www.scopus.com/pages/publications/85200424956?origin=resultslist,FSO,system,shared_waveform|shared_optical_carrier|shared_link_or_channel|shared_hardware,data_transmission,ranging|localization,"DCO-OFDM and ACO-OFDM are analyzed; oversampling factor 5, symbol/window length 256 and 1 GSa/s are used in the stated ranging configuration.","Free-space optical transmitter, communication photodetector, retroreflective corner-cube target and sensing photodetector; point-source and area-source models are compared.",Retroreflective optical link for a mobile/remote target with simultaneous downlink communication and round-trip ranging.,analytical|simulation|laboratory_experiment,Analytical/simulated RO-ISAC link with a short-range laboratory channel-gain validation at 70 cm.,vehicular|industrial,OFDM|other,inferred,on_request,NR,FSO,4,analytical_theoretical|laboratory_experiment|simulation,inferred,on_request,unavailable_or_NR,workflow_blank,workflow_blank,OISAC_SCR00011,missing_from_current_bib,,,,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel,analytical|simulation|laboratory_experiment,OFDM,vehicular|industrial
STC-SINGLETON-SCR-00012,SCR-00012,SCR-00012,1,SCR-00012,Single-Source optical integrated sensing and communication (O-ISAC) with sequential target recognition,Ye Z.; Liu L.; Lin Z.; Liu L.; Liu Z.; Fu H.Y.,2026,Optics and Laser Technology,10.1016/j.optlastec.2026.114961,,Article,https://www.scopus.com/pages/publications/105030080700?origin=resultslist,FSO,system,shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|mixed,data_transmission,localization|imaging|detection,PAM2/OOK communication; low-frequency galvo raster scan for localization and structured Hadamard-family DMD patterns for single-pixel imaging.,"520 nm laser, beam splitter, 2D galvo, DMD, retroreflective targets, sensing bucket PD PDA100A2 and separate communication APD210 (1-1600 MHz).",Short-range 1.1 m free-space optical target-plane link with sequential target acquisition and communication.,laboratory_experiment|prototype_testbed,Laboratory target plane at 1.1 m with three retroreflective targets and data rates 0.75-1.15 Gbit/s.,industrial|security|other,beamforming|other,direct,on_request,NR,FSO,5,controlled_prototype|laboratory_experiment,direct,on_request,unavailable_or_NR,workflow_blank,workflow_blank,OISAC_SCR00012,missing_from_current_bib,,,,shared_optical_carrier|shared_link_or_channel|shared_resource_allocation|mixed,laboratory_experiment|prototype_testbed,beamforming,industrial|security
STC-SINGLETON-SCR-00013,SCR-00013,SCR-00013,1,SCR-00013,On the coexistence of distributed fiber optic sensing and IM/DD transmission via digital subcarrier multiplexing,Wang J.; Lu L.; Zhang J.; Tao Lau A.P.; Li Z.; Lu C.,2026,Optics Express,10.1364/oe.588592,,Article,https://www.scopus.com/pages/publications/105029351598?origin=resultslist,fiber,system,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization,data_transmission,distributed_acoustic_sensing|vibration_sensing|monitoring,"16 Gbit/s 16-QAM DSCM communication (4 GBaud, RRC roll-off 0.1, 2.4 GHz center) plus digital LFM sensing chirp 40-140 MHz with about 109 microsecond period.","1550.12 nm, 14 dBm, 100 Hz-linewidth laser; shared DAC/MZM transmitter; 10 km SSMF; direct-detection communication receiver and coherent Rayleigh-backscatter sensing receiver; PZT at fiber end.",10 km short-reach IM/DD fiber communication link coexisting with distributed acoustic sensing.,laboratory_experiment|prototype_testbed,Laboratory 10 km SSMF link with PZT vibrations at 200 and 400 Hz and communication on/off comparisons.,smart_infrastructure|industrial|environment_monitoring,fiber_DAS|other,direct,on_request,NR,fiber,5,controlled_prototype|laboratory_experiment,direct,on_request,unavailable_or_NR,descriptive_only|workflow_blank,insufficient_information|workflow_blank,OISAC_SCR00013,missing_from_current_bib,,,,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel|joint_design_or_optimization,laboratory_experiment|prototype_testbed,fiber_DAS,industrial|environment_monitoring|smart_infrastructure
STC-SINGLETON-SCR-00015,SCR-00015,SCR-00015,1,SCR-00015,Integrated optical covert sensing and communication,Zhu H.; Xu X.; Liu Z.; Zhang J.,2025,Chinese Optics Letters,10.3788/col202523.020602,,Article,https://www.scopus.com/pages/publications/105000363994?origin=resultslist,fiber,system,shared_waveform|shared_optical_carrier|shared_link_or_channel|shared_hardware,secure_communication|data_transmission,vibration_sensing|localization|monitoring,1.25 Gbit/s OOK covert signal carried by unfiltered ASE; public communication is also present; sensing uses Sagnac phase interference and spectral null-frequency localization.,"ASE source, OOK modulator, 3 x 3 couplers, Sagnac loop, 25 km and 10 km G.652 SMF spans plus short variable span, optical filters, EDFAs, DCF and direct-detection receivers.",Metropolitan-area fiber concept with public and low-power covert channels plus in-fiber vibration localization.,analytical|laboratory_experiment|prototype_testbed,Laboratory multi-span G.652 fiber/Sagnac proof of concept with PZT vibration and public/covert communication channels.,security|smart_infrastructure,fiber_DAS|other,inferred,NR,NR,fiber,5,analytical_theoretical|controlled_prototype|laboratory_experiment,inferred,unavailable_or_NR,unavailable_or_NR,descriptive_only|workflow_blank,not_admissible|workflow_blank,OISAC_SCR00015,doi_exact,O_ISAC_202,Integrated optical covert sensing and communication,10.3788/col202523.020602,shared_waveform|shared_hardware|shared_optical_carrier|shared_link_or_channel,analytical|laboratory_experiment|prototype_testbed,fiber_DAS,security|smart_infrastructure
STC-SINGLETON-SCR-00036,SCR-00036,SCR-00036,1,SCR-00036,Millimeter-Wave Integrated Sensing and Communication System Based on a Photonics-Assisted Phased Array,Guo X.; Li Z.; Zhou Z.; Deng L.; Yu Y.; Zhang X.,2026,Laser and Photonics Reviews,10.1002/lpor.202502350,Guo X.; Li Z.; Zhou Z.; Deng L.; Yu Y.; Zhang X. (2026). Millimeter-Wave Integrated Sensing and Communication System Based on a Photonics-Assisted Phased Array. Laser & Photonics Reviews. https://doi.org/10.1002/lpor.202502350,Article,https://www.scopus.com/pages/publications/105027111039?origin=resultslist,photonic_THz,multi_level,shared_hardware|shared_waveform|shared_resource_allocation,data_transmission,ranging,5-GBaud 21-26-GHz integrated OFDM-FMCW waveform; 16-QAM communication payload,Eight-channel silicon photonics-assisted phased-array chip with 6-bit optical time-delay control and direct optical-to-RF conversion,Fiber-fed millimeter-wave free-space link in an anechoic-chamber experiment,laboratory_experiment,Anechoic chamber; single- and two-target ranging over 1.6-2.7 m; steering measurements over 0-30 degrees,autonomous_driving|remote_radio_head|industrial_networking,silicon_photonics|phased_array|FMCW|OFDM,explicit,on_request,NR,photonic_THz,4,laboratory_experiment,direct,on_request,unavailable_or_NR,conditional,conditional,OISAC_SCR00036,missing_from_current_bib,,,,shared_waveform|shared_hardware|shared_resource_allocation,laboratory_experiment,OFDM|photonic_integration|OPA|FMCW,vehicular|industrial
