"screening_record_id","report_id","citation","title","authors","year","source_title","doi","exclusion_code","exclusion_reason","decision_date","qa_status","record_lock_status","citation_token"
"SCR-00060","RPT-SCR-00060-01","Sun Z.; Shi F.; Shi Z.; Choi H.W.; Liu Y.; Wang Y.; Yan J.. (2025). GaN Optoelectronic Integrated Chip with Multifunctions of Communication and Neuromorphic Computing. Advanced Optical Materials. https://doi.org/10.1002/adom.202403514","GaN Optoelectronic Integrated Chip with Multifunctions of Communication and Neuromorphic Computing","Sun Z.; Shi F.; Shi Z.; Choi H.W.; Liu Y.; Wang Y.; Yan J.","2025","Advanced Optical Materials","10.1002/adom.202403514","FTX04","No genuine sensing-communication integration","2026-07-23","PASS","locked","https://doi.org/10.1002/adom.202403514"
"SCR-00087","RPT-SCR-00087-01","Wang Y.; Zhong N.; Bai W.; He T.; Pan W.; Yan L.; Zou X.. (2026). Integration of Communication，Sensing，and Measurement Technology Based on Photonic Spread-spectrum Phase Encoding（Invited）; [基于光子学扩频相位编码的通感测一体化技术 （特邀）]. Guangzi Xuebao/Acta Photonica Sinica. https://doi.org/10.3788/gzxb20265503.0355107","Integration of Communication，Sensing，and Measurement Technology Based on Photonic Spread-spectrum Phase Encoding（Invited）; [基于光子学扩频相位编码的通感测一体化技术 （特邀）]","Wang Y.; Zhong N.; Bai W.; He T.; Pan W.; Yan L.; Zou X.","2026","Guangzi Xuebao/Acta Photonica Sinica","10.3788/gzxb20265503.0355107","FTX07","Insufficient English full technical content","2026-07-23","PASS","locked","https://doi.org/10.3788/gzxb20265503.0355107"
"SCR-00094","RPT-SCR-00094-01","Tang M.; Wang H.; Wang X.; Wang Y.; Zhai S.; Liu Y.; Yang Z.; Shen L.; Zhang L.; Luo J.; Huang Z.; Zhang L.. (2025). Heterogeneous Seven-Core Fiber for Integrated Sensing and Communication System (Invited); [用 于 感 传 一 体 系 统 的 异 质 七 芯 光 纤（特 邀）]. Laser and Optoelectronics Progress. https://doi.org/10.3788/lop251579","Heterogeneous Seven-Core Fiber for Integrated Sensing and Communication System (Invited); [用 于 感 传 一 体 系 统 的 异 质 七 芯 光 纤（特 邀）]","Tang M.; Wang H.; Wang X.; Wang Y.; Zhai S.; Liu Y.; Yang Z.; Shen L.; Zhang L.; Luo J.; Huang Z.; Zhang L.","2025","Laser and Optoelectronics Progress","10.3788/lop251579","FTX07","Insufficient English full technical content","2026-07-23","PASS","locked","https://doi.org/10.3788/lop251579"
"SCR-00129","RPT-SCR-00129-01","Luo H.; Xu N.; Wang S.; Kuang H.; Ge H.; Li X.; Jia B.. (2026). Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication. Optics Communications. https://doi.org/10.1016/j.optcom.2025.132782","Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication","Luo H.; Xu N.; Wang S.; Kuang H.; Ge H.; Li X.; Jia B.","2026","Optics Communications","10.1016/j.optcom.2025.132782","FTX03","Sensing only without communication","2026-07-23","PASS","locked","https://doi.org/10.1016/j.optcom.2025.132782"
"SCR-00146","RPT-SCR-00146-01","Yang X.; Duo L.; Ren Y.; Xu B.. (2026). Underwater visible light communication sensing integrated waveform design based on OTFS-LFM; [基于 OTFS-LFM 的水下可见光通信感知一体化波形设计]. Journal of Beijing University of Aeronautics and Astronautics. https://doi.org/10.13700/j.bh.1001-5965.2023.0770","Underwater visible light communication sensing integrated waveform design based on OTFS-LFM; [基于 OTFS-LFM 的水下可见光通信感知一体化波形设计]","Yang X.; Duo L.; Ren Y.; Xu B.","2026","Journal of Beijing University of Aeronautics and Astronautics","10.13700/j.bh.1001-5965.2023.0770","FTX07","Insufficient English full technical content","2026-07-23","PASS","locked","https://doi.org/10.13700/j.bh.1001-5965.2023.0770"
"SCR-00147","RPT-SCR-00147-01","Lu Y.; Gu J.; Liu P.; Chen M.; Bian Q.; Wang J.; Hu X.; Chen Y.; Chen W.; Meng Z.. (2025). Optimization Scheme of Multi-Span Relay Amplification Along Optical Fiber Link for Simultaneous Sensing and Communication (Invited); [感 通 一 体 光 纤 链 路 多 跨 段 中 继 放 大 优 化 方 案（特 邀）]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos251165","Optimization Scheme of Multi-Span Relay Amplification Along Optical Fiber Link for Simultaneous Sensing and Communication (Invited); [感 通 一 体 光 纤 链 路 多 跨 段 中 继 放 大 优 化 方 案（特 邀）]","Lu Y.; Gu J.; Liu P.; Chen M.; Bian Q.; Wang J.; Hu X.; Chen Y.; Chen W.; Meng Z.","2025","Guangxue Xuebao/Acta Optica Sinica","10.3788/aos251165","FTX07","Insufficient English full technical content","2026-07-23","PASS","locked","https://doi.org/10.3788/aos251165"
"SCR-00163","RPT-SCR-00163-01","Cai K.; Song B.; Lin W.; Duan S.; Liu H.; Zhang H.; Liu B.. (2025). Reconfigurable optical convolution operation architecture based on fiber Bragg gratings. Optics Express. https://doi.org/10.1364/oe.573304","Reconfigurable optical convolution operation architecture based on fiber Bragg gratings","Cai K.; Song B.; Lin W.; Duan S.; Liu H.; Zhang H.; Liu B.","2025","Optics Express","10.1364/oe.573304","FTX04","No genuine sensing-communication integration","2026-07-23","PASS","locked","https://doi.org/10.1364/oe.573304"
"SCR-00187","RPT-SCR-00187-01","Cao M.; Zhou G.; Yang Q.; Zhang Y.; Zhang X.; Wang H.. (2025). Enhanced Integration and Performance Analysis of Integrated OFDM-LFM Wireless Optical Communication and Sensing System; [OFDM-LFM 无线光通信感知一体化系统及性能分析]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos241257","Enhanced Integration and Performance Analysis of Integrated OFDM-LFM Wireless Optical Communication and Sensing System; [OFDM-LFM 无线光通信感知一体化系统及性能分析]","Cao M.; Zhou G.; Yang Q.; Zhang Y.; Zhang X.; Wang H.","2025","Guangxue Xuebao/Acta Optica Sinica","10.3788/aos241257","FTX07","Insufficient English full technical content","2026-07-23","PASS","locked","https://doi.org/10.3788/aos241257"
"SCR-00200","RPT-SCR-00200-01","Shihao F.; Nan F.; Xiaobo Z.; Danping R.; Jijun Z.. (2026). Optimized Sensor Deployment for Integrated Sensing and Communication Optical Networks; [通 感 一 体 光 网 络 中 传 感 设 备 部 署 优 化 研 究]. Laser and Optoelectronics Progress. https://doi.org/10.3788/lop251311","Optimized Sensor Deployment for Integrated Sensing and Communication Optical Networks; [通 感 一 体 光 网 络 中 传 感 设 备 部 署 优 化 研 究]","Shihao F.; Nan F.; Xiaobo Z.; Danping R.; Jijun Z.","2026","Laser and Optoelectronics Progress","10.3788/lop251311","FTX07","Insufficient English full technical content","2026-07-23","PASS","locked","https://doi.org/10.3788/lop251311"
"SCR-00223","RPT-SCR-00223-01","Gilligan J.E.; Voshell A.B.; Moody D.M.; Tomasello N.S.; O Connor S.R.; Clark T.R.. (2025). Development of a Frequency Agile RF-Photonic Digital Transceiver. Journal of Lightwave Technology. https://doi.org/10.1109/jlt.2025.3612848","Development of a Frequency Agile RF-Photonic Digital Transceiver","Gilligan J.E.; Voshell A.B.; Moody D.M.; Tomasello N.S.; O Connor S.R.; Clark T.R.","2025","Journal of Lightwave Technology","10.1109/jlt.2025.3612848","FTX04","No genuine sensing-communication integration","2026-07-23","PASS","locked","https://doi.org/10.1109/jlt.2025.3612848"
"SCR-00281","RPT-SCR-00281-01","Zhang X.; Ge Y.; Gu Y.; Lian W.; Hu J.; Zhao M.. (2025). Research on optical sideband signal wavefront damage repair technology in optical fibers. Optics Communications. https://doi.org/10.1016/j.optcom.2025.132474","Research on optical sideband signal wavefront damage repair technology in optical fibers","Zhang X.; Ge Y.; Gu Y.; Lian W.; Hu J.; Zhao M.","2025","Optics Communications","10.1016/j.optcom.2025.132474","FTX04","No genuine sensing-communication integration","2026-07-23","PASS","locked","https://doi.org/10.1016/j.optcom.2025.132474"
