evidence_body_id,study_cluster_id,certainty_summary,schema_version
S1-fiber,STC-DSCM-ANN-DT-ECL-2025-2026,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-ENDOGENOUS-TS-FRFT-DAS-2025,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-FRDM-POLARIZATION-SENSING-2025-2026,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-ICP-RL-HLLB-3650KM-2024-2025,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SELF-HOMODYNE-MCF-OFDR-2024-2025,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SEVENCORE-COMB-SH-DAS-2024-2025,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00002,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00007,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00008,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00013,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00015,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00038,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00052,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00056,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00057,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00123,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00151,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00218,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00238,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00278,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00344,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00356,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00367,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00369,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00432,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00473,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00496,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00589,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00607,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00626,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00631,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00647,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00665,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00679,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00680,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00719,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00761,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00949,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00959,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-00983,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01006,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01008,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01045,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01049,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01070,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01071,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01072,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01079,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01086,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01088,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01095,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01103,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01105,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01180,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SINGLETON-SCR-01188,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fiber,STC-SUBMARINE-CABLE-DAS-HUIZHOU-2022-2026,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-ACO-OFDM-LFM-LIDAR-2025,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-EADO-OFDM-RANGING-2024-2025,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-OPA-OWISAC-BEAMFORMING-2024-2025,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00011,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00012,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00233,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00256,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00387,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00456,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00506,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00576,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00594,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00730,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00903,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00904,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00908,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00909,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00913,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00914,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00916,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00917,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00922,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00926,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00941,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-00980,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-01023,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-01025,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-01029,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-01032,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-01050,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-fso,STC-SINGLETON-SCR-01085,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-hybrid_optical,STC-SINGLETON-SCR-00009,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-hybrid_optical,STC-SINGLETON-SCR-00091,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-hybrid_optical,STC-SINGLETON-SCR-00210,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-hybrid_optical,STC-SINGLETON-SCR-00277,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-hybrid_optical,STC-SINGLETON-SCR-00366,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-hybrid_optical,STC-SINGLETON-SCR-00436,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-hybrid_optical,STC-SINGLETON-SCR-00944,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-hybrid_optical,STC-SINGLETON-SCR-01011,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-hybrid_optical,STC-SINGLETON-SCR-01229,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-other_optical,STC-SINGLETON-SCR-00268,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-other_optical,STC-SINGLETON-SCR-00379,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-other_optical,STC-SINGLETON-SCR-00906,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-DP-IMDD-THZ-RANGING-2025-2026,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-MMW-OFDM-PENG-2023-2024,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-MULTICHANNEL-LFM-QAM-THZ-2024-2026,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-OCDM-THZ-OVER-FIBER-2024-2025,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-ODDM-PHOTONIC-MMW-2024-2025,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-REALTIME-BIDIR-DMT-THZ-2024-2026,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SF-LFM-OFDM-THZ-2025-2026,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00036,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00086,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00160,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00177,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00185,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00189,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00274,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00312,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00361,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00362,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00396,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00406,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00418,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00492,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00502,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00602,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00808,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00882,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00884,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00885,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00887,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00891,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00893,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00896,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00899,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00937,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00953,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00954,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00965,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00970,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00974,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00975,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00977,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00979,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00985,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00986,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00990,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00992,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00994,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00996,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-00998,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01000,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01004,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01009,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01010,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01012,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01018,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01020,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01040,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01041,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01060,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01073,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01093,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01101,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01151,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01152,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01153,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SINGLETON-SCR-01165,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-SUBCARRIER-CHIRP-DBAND-2025,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-TUNABLE-LASER-THZ-FMCW-2025-2026,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-WBAND-POLARIZATION-JRC-2023-2025,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-photonic_thz,STC-WBAND-TFDM-DONG-2022-2024,high,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-III-NITRIDE-MOTION-VLC-2023,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-LED-OISAC-2024-2025,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00001,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00110,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00196,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00273,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00294,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00376,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00407,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00451,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00460,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00488,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00527,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00557,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00833,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00836,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00873,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00902,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
S1-vlc_lifi,STC-SINGLETON-SCR-00905,moderate,phase_e_tqaf_deterministic_v1.0_2026-08-04
