register_id,citation_key,citation_command,source_record_id,screening_record_id,title,authors,year,venue,persistent_identifier_type,persistent_identifier,source_url,source_form,workflow_origin,executed_workflow_status,synthesis_function_rule_status,primary_evidence_denominator_status,primary_role,table_i_assignment_status,primary_reader_task_family,secondary_reader_tasks,secondary_scope_tags,optical_medium_or_network_scope,native_evidence_unit,comparison_logic,lineage_flag,inclusion_rationale,neutral_boundary,date_value,date_precision,date_source,metadata_source,classification_basis,amendment_id,bib_doi_match,bib_title_match
ST-RS1-01,Wen2024OISACArchitectures,\cite{Wen2024OISACArchitectures},SCR-00911,SCR-00911,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",Y. Wen; F. Yang; J. Song; Z. Han,2024,IEEE Internet of Things Magazine,DOI,10.1109/iotm.001.2300196,https://doi.org/10.1109/iotm.001.2300196,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,architecture_and_system_design,applications_and_challenges; multi_platform_taxonomy,O-ISAC; architectures; potentials; challenges,multi_platform_optical,"previously reported architectures, integration mechanisms, and system-design patterns",narrative or taxonomic comparison of architecture and integration choices,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",27 Jun 2024,reported_date_string,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-02,Chu2025ROISACOverview,\cite{Chu2025ROISACOverview},MSA-CHU-2025,not_in_executed_exports,"Retroreflective Optical ISAC for 6G: Technologies, Applications and Future Directions","Chu, Tiantian and Chen, Chen and Ye, Jia and Xiong, Xin and Shao, Sihua and Zeng, Zhihong and Wang, Dengke and Yang, Fengli and Xu, Guanjun and Haas, Harald",2025,arXiv,DOI,10.48550/arxiv.2512.01275,https://arxiv.org/abs/2512.01275,full_length_or_independently_citable,manuscript_stage_bounded_addition,absent_from_executed_exports_contextual_addition_only,eligible_under_bounded_manuscript_positioning_rule,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,architecture_and_system_design,applications_and_challenges; future_directions,retroreflective_optical_ISAC; 6G; optical_wireless,retroreflective_optical_wireless,"previously reported architectures, integration mechanisms, and system-design patterns",narrative or taxonomic comparison of architecture and integration choices,related_research_line_no_formal_version_relationship_asserted,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis added by a bounded manuscript-stage positioning update; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2025-12-01,exact_arxiv_submission_date,2026-08-11_bounded_source_audit,resolved_context_bibliography; 2026-08-11_bounded_source_function_audit,2026-08-11_bounded_source_function_audit,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-03,Su2025OISACTheoryPractice,\cite{Su2025OISACTheoryPractice},MSA-SU-2025,not_in_executed_exports,Optical Integrated Sensing and Communication: From Theory to Practice,"Su, Xiaofeng and Song, Jian and Liu, Zhenyu and Guan, Xun and Yang, Fang and Dong, Yuhan and Zhang, Hongming and Wang, Jintao and Pan, Changyong and Zhang, Xiaoping",2025,Tsinghua Science and Technology,DOI,10.26599/tst.2025.9010099,https://doi.org/10.26599/TST.2025.9010099,full_length_or_independently_citable,manuscript_stage_bounded_addition,absent_from_executed_exports_contextual_addition_only,eligible_under_bounded_manuscript_positioning_rule,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,architecture_and_system_design,translation_to_practice; applications_and_challenges,O-ISAC; architecture; theory_to_practice,multi_platform_optical,"previously reported architectures, integration mechanisms, and system-design patterns",narrative or taxonomic comparison of architecture and integration choices,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis added by a bounded manuscript-stage positioning update; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2025-12-11,exact_available_online_date,2026-08-11_bounded_source_audit,resolved_context_bibliography; 2026-08-11_bounded_source_function_audit,2026-08-11_bounded_source_function_audit,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-04,Wang2026CrossLayerISACoF,\cite{Wang2026CrossLayerISACoF},SCR-00960,SCR-00960,[Invited] Integrated Sensing and Communication over Optical Fiber: A Communication-centric Cross-layer View from Long-haul to Short-reach Networks,J. Wang; M. Liu; L. Lu; H. He; C. Yu; A. P. T. Lau; C. Lu,2026,IEEE Photonics Journal,DOI,10.1109/jphot.2026.3698353,https://doi.org/10.1109/jphot.2026.3698353,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,architecture_and_system_design,physical_media_and_networks; deployment_and_operations,fiber_ISAC; cross_layer; long_haul; short_reach,optical_fiber_networks,"previously reported architectures, integration mechanisms, and system-design patterns",narrative or taxonomic comparison of architecture and integration choices,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",29 May 2026,reported_date_string,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-05,Rode2025PolarizationISAC,\cite{Rode2025PolarizationISAC},SCR-00309,SCR-00309,Machine learning opportunities for integrated polarization sensing and communication in optical fibers,Rode A.; Farsi M.; Lauinger V.; Karlsson M.; Agrell E.; Schmalen L.; Häger C.,2025,Optical Fiber Technology,DOI,10.1016/j.yofte.2024.104047,https://doi.org/10.1016/j.yofte.2024.104047,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,analytical_limits_and_estimation_methods,physical_media_and_networks; machine_learning_methods,polarization_sensing; machine_learning; fiber,optical_fiber,"analytical models, limits, estimators, and design approaches summarized by the source",conceptual and analytical comparison; no pooled estimate inferred,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2025,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-06,Khorasgani2026GeneralOpticalISACSurvey,\cite{Khorasgani2026GeneralOpticalISACSurvey},SCR-00006,SCR-00006,"A survey on general and optical ISAC: Fundamental limits, design approaches, and future directions",Khorasgani A.G.,2026,Optical Switching and Networking,DOI,10.1016/j.osn.2026.100853,https://doi.org/10.1016/j.osn.2026.100853,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,analytical_limits_and_estimation_methods,architecture_and_system_design; future_directions,general_ISAC; optical_ISAC; information_theoretic_limits; estimators,FSO_and_general_optical,"analytical models, limits, estimators, and design approaches summarized by the source",conceptual and analytical comparison; no pooled estimate inferred,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2026,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-07,Liu2025OpticalNetworkISACProspect,\cite{Liu2025OpticalNetworkISACProspect},MSA-LIU-2025,not_in_executed_exports,"Technology, Application and Prospect of Integrated Sensing and Communication of Optical Networks","Liu, Kewei and Xie, Junjie and Wu, Bingbing and Li, Fang",2025,Study on Optical Communications,DOI,10.13756/j.gtxyj.2025.240046,https://doi.org/10.13756/j.gtxyj.2025.240046,full_length_or_independently_citable,manuscript_stage_bounded_addition,absent_from_executed_exports_contextual_addition_only,eligible_under_bounded_manuscript_positioning_rule,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,technological_evolution_standardization_and_deployment,physical_media_and_networks; applications_and_challenges,optical_networks; technology; applications; prospects,optical_fiber_networks,"technology lineage, standardization context, or deployment cases summarized by the source",chronological or deployment-oriented narrative comparison,distinct_update_within_optical_network_synthesis_lineage,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis added by a bounded manuscript-stage positioning update; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2025,publication_year_only,resolved_context_bibliography,resolved_context_bibliography; 2026-08-11_bounded_source_function_audit,2026-08-11_bounded_source_function_audit,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-08,Cao2026SubmarineFiberISAC,\cite{Cao2026SubmarineFiberISAC},SCR-00358,SCR-00358,Intelligent submarine environmental monitoring based on fiber-optic integrated sensing and communication system,Cao X.; Li Z.; Li X.; Pan J.; Chen S.; Wu Y.; Huang W.; Lin Q.; Chen Y.; Liu Z.,2026,Science China Information Sciences,DOI,10.1007/s11432-025-4636-1,https://doi.org/10.1007/s11432-025-4636-1,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,technological_evolution_standardization_and_deployment,physical_media_and_networks; applications_and_challenges,submarine_fiber; environmental_monitoring; deployment,submarine_optical_fiber,"technology lineage, standardization context, or deployment cases summarized by the source",chronological or deployment-oriented narrative comparison,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2026,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-09,Ip2026DeployedTelecomCableISAC,\cite{Ip2026DeployedTelecomCableISAC},SCR-01179,SCR-01179,Integrated sensing and communications over deployed terrestrial and submarine telecom cables,"Ip, Ezra and Huang, Yue-Kai and Huang, Ming-Fang and Yaman, Fatih and Fang, Jian and Wang, Ting",2026,Science China Information Sciences,DOI,10.1007/s11432-026-4960-9,https://doi.org/10.1007/s11432-026-4960-9,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,technological_evolution_standardization_and_deployment,physical_media_and_networks; applications_and_challenges,deployed_telecom_cables; terrestrial; submarine,terrestrial_and_submarine_fiber,"technology lineage, standardization context, or deployment cases summarized by the source",chronological or deployment-oriented narrative comparison,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2026,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-10,Zhang2026ISACEvolution,\cite{Zhang2026ISACEvolution},SCR-00928,SCR-00928,Integrated Sensing and Communications Over the Years: An Evolution Perspective,D. Zhang; Y. Cui; X. Cao; N. Su; Y. Gong; F. Liu; W. Yuan; X. Jing; J. Andrew Zhang; J. Xu; C. Masouros; D. Niyato; M. Di Renzo,2026,IEEE Communications Surveys & Tutorials,DOI,10.1109/comst.2026.3655674,https://doi.org/10.1109/comst.2026.3655674,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,technological_evolution_standardization_and_deployment,standardization_context; future_directions,general_ISAC_evolution; optical_positioning_context,general_ISAC_with_optical_context,"technology lineage, standardization context, or deployment cases summarized by the source",chronological or deployment-oriented narrative comparison,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",19 Jan 2026,reported_date_string,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
