"source","source_role","reporting_run_id","historical_execution_label","execution_date","query_string","query_status","filters_and_limits","on_screen_record_count","exported_row_count","canonical_export_file","export_format","notes"
"Scopus","core","SCO-01","SCO-FINAL-S1A","2026-06-22","TITLE-ABS-KEY(""O-ISAC"" OR OISAC OR ""optical ISAC"" OR ""optical integrated sensing and communication"" OR ""integrated optical sensing and communication"" OR ""joint optical communication and sensing"" OR ""optical joint communication and sensing"")","reconstructed_from_final_search_package","2020-2026; English intended/applied in interface; Article, Conference Paper, and Review intended","NR_not_recorded_at_execution","41","SCO-FINAL-S1A_export_2026-06-22.csv","CSV","Exact phrase search."
"Scopus","core","SCO-02","SCO-FINAL-S1B","2026-06-22","TITLE-ABS-KEY((""integrated sensing and communication"" OR ""integrated sensing and communications"" OR ISAC OR ""joint sensing and communication"" OR ""joint communication and sensing"" OR ""sensing-communication"" OR ""communication-sensing"") AND (optical OR photonic OR ""free-space optical"" OR FSO OR ""optical wireless"" OR OWC OR VLC OR LiFi OR ""visible light communication"" OR ""visible light communications"" OR ""optical camera communication"" OR OCC OR fiber OR fibre OR ""fiber optic"" OR ""fibre optic"" OR ""optical fiber"" OR ""optical fibre"" OR ""photonic THz"" OR ""photonic terahertz"" OR ""photonic mmWave"" OR ""photonic millimeter wave"" OR ""THz-over-fiber"" OR ""terahertz-over-fiber"" OR ""microwave photonic"" OR ""microwave photonics""))","reconstructed_from_final_search_package","2020-2026; English intended/applied in interface; Article, Conference Paper, and Review intended","NR_not_recorded_at_execution","1128","SCO-FINAL-S1B_export_2026-06-22.csv","CSV","Broad high recall search; screening noise expected."
"Scopus","core","SCO-03","SCO-FINAL-S1F","2026-06-22","TITLE-ABS-KEY((""photonic THz"" OR ""photonic terahertz"" OR ""photonic mmWave"" OR ""photonic millimeter wave"" OR ""microwave photonic"" OR ""microwave photonics"" OR ""THz-over-fiber"" OR ""terahertz-over-fiber"" OR ""photonics-assisted"" OR ""photonic-assisted"" OR ""photonic-aided"") AND (""integrated sensing and communication"" OR ""integrated sensing and communications"" OR ISAC OR ""joint radar communication"" OR ""joint radar-communication"" OR ""joint radar and communication"" OR ""joint communication and radar"" OR ""joint sensing and communication"" OR ""joint communication and sensing""))","reconstructed_from_final_search_package","2020-2026; English intended/applied in interface; Article, Conference Paper, and Review intended","NR_not_recorded_at_execution","104","SCO-FINAL-S1F_export_2026-06-22.csv","CSV","Photonics enabled millimeter wave and terahertz search."
"IEEE Xplore","core","IEEE-01","IEEE-FINAL-S1A","2026-06-22","""All Metadata"":""O-ISAC"" OR ""All Metadata"":OISAC OR ""All Metadata"":""optical ISAC"" OR ""All Metadata"":""optical integrated sensing and communication"" OR ""All Metadata"":""integrated optical sensing and communication"" OR ""All Metadata"":""joint optical communication and sensing"" OR ""All Metadata"":""optical joint communication and sensing""","reconstructed_from_recorded_pilot_query_used_for_final_run","2020-2026; Journals and Conferences; English if available","NR_not_recorded_at_execution","31","IEEE-FINAL-S1A_export_2026-06-22.csv","CSV","Exact phrase search."
"IEEE Xplore","core","IEEE-02","IEEE-FINAL-S1B","2026-06-22","(""Document Title"":""integrated sensing and communication"" OR ""Document Title"":""integrated sensing and communications"" OR ""Document Title"":ISAC OR ""Document Title"":""joint sensing and communication"" OR ""Document Title"":""joint communication and sensing"" OR ""Document Title"":""sensing-communication"" OR ""Document Title"":""communication-sensing"" OR ""Abstract"":""integrated sensing and communication"" OR ""Abstract"":""integrated sensing and communications"" OR ""Abstract"":ISAC OR ""Abstract"":""joint sensing and communication"" OR ""Abstract"":""joint communication and sensing"" OR ""Abstract"":""sensing-communication"" OR ""Abstract"":""communication-sensing"") AND (""Document Title"":optical OR ""Document Title"":photonic OR ""Document Title"":""free-space optical"" OR ""Document Title"":FSO OR ""Document Title"":VLC OR ""Document Title"":LiFi OR ""Document Title"":""visible light communication"" OR ""Document Title"":""optical wireless"" OR ""Document Title"":""optical fiber"" OR ""Document Title"":""photonic THz"" OR ""Abstract"":optical OR ""Abstract"":photonic OR ""Abstract"":""free-space optical"" OR ""Abstract"":FSO OR ""Abstract"":VLC OR ""Abstract"":LiFi OR ""Abstract"":""visible light communication"" OR ""Abstract"":""optical wireless"" OR ""Abstract"":""optical fiber"" OR ""Abstract"":""photonic THz"")","reconstructed_from_recorded_pilot_query_used_for_final_run","2020-2026; Journals and Conferences; English if available","NR_not_recorded_at_execution","252","IEEE-FINAL-S1B_export_2026-06-22.csv","CSV","Broad high recall search; screening noise expected."
"IEEE Xplore","core","IEEE-03","IEEE-FINAL-S1F","2026-06-22","(""Document Title"":""photonic THz"" OR ""Document Title"":""photonic terahertz"" OR ""Document Title"":""photonic mmWave"" OR ""Document Title"":""photonic millimeter wave"" OR ""Document Title"":""microwave photonic"" OR ""Document Title"":""THz-over-fiber"" OR ""Document Title"":""photonics-assisted"" OR ""Document Title"":""photonic-assisted"" OR ""Document Title"":""photonic-aided"" OR ""Abstract"":""photonic THz"" OR ""Abstract"":""photonic terahertz"" OR ""Abstract"":""photonic mmWave"" OR ""Abstract"":""photonic millimeter wave"" OR ""Abstract"":""microwave photonic"" OR ""Abstract"":""THz-over-fiber"" OR ""Abstract"":""photonics-assisted"" OR ""Abstract"":""photonic-assisted"" OR ""Abstract"":""photonic-aided"") AND (""Document Title"":""integrated sensing and communication"" OR ""Document Title"":""integrated sensing and communications"" OR ""Document Title"":ISAC OR ""Document Title"":""joint radar communication"" OR ""Document Title"":""joint radar-communication"" OR ""Document Title"":""joint radar and communication"" OR ""Document Title"":""joint communication and radar"" OR ""Abstract"":""integrated sensing and communication"" OR ""Abstract"":""integrated sensing and communications"" OR ""Abstract"":ISAC)","reconstructed_from_recorded_pilot_query_used_for_final_run","2020-2026; Journals and Conferences; English if available","NR_not_recorded_at_execution","46","IEEE-FINAL-S1F_export_2026-06-22.csv","CSV","Photonics enabled millimeter wave and terahertz search."
"ScienceDirect","supplementary","SD-01","SD-FINAL-P1","2026-06-22","""optical integrated sensing and communication"" OR ""optical ISAC"" OR ""O-ISAC"" OR OISAC","recorded_in_final_source_summary","2020-2026; English if available; journal articles and reviews where the platform exposed type filters","NR_not_recorded_at_execution","9","SD-FINAL-P1_export_2026-06-22.txt","TXT","Exact phrase search."
"ScienceDirect","supplementary","SD-02","SD-FINAL-P2D","2026-06-22","(""integrated sensing and communication"" OR ISAC) AND (""photonic THz"" OR ""photonic terahertz"" OR ""THz-over-fiber"")","recorded_in_final_source_summary","2020-2026; English if available; journal articles and reviews where the platform exposed type filters","NR_not_recorded_at_execution","5","SD-FINAL-P2D_export_2026-06-22.txt","TXT","Focused terahertz search."
"ScienceDirect","supplementary","SD-03","SD-FINAL-P2E","2026-06-22","(ISAC OR ""joint radar and communication"") AND (""photonic-assisted"" OR ""photonics-assisted"" OR ""microwave photonic"")","recorded_in_final_source_summary","2020-2026; English if available; journal articles and reviews where the platform exposed type filters","NR_not_recorded_at_execution","10","SD-FINAL-P2E_export_2026-06-22.txt","TXT","Focused microwave photonics search."
"SpringerLink","supplementary","SPR-01","SPR-FINAL-P1B","2026-06-22","""optical ISAC"" OR ""O-ISAC""","recorded_in_final_source_summary","2020-2026; English if available; journal articles and reviews where the platform exposed type filters","NR_not_recorded_at_execution","4","SPR-FINAL-P1B_export_2026-06-22.csv","CSV","Exact phrase search."
