study_id,primary_report_id,citation_key,canonical_modality,maximum_validation_tier,tqaf_validation_maturity_score,communication_field_or_deployment_outcome,sensing_field_or_deployment_outcome,maximum_field_or_deployment_subset,paired_function_evidence_subset
STC-ACO-OFDM-LFM-LIDAR-2025,RPT-SCR-01115-01,OISAC_SCR01115,FSO,4,2,no,no,no,no
STC-DP-IMDD-THZ-RANGING-2025-2026,RPT-SCR-00989-01,OISAC_SCR00989,photonic_THz,5,2,no,no,no,no
STC-DSCM-ANN-DT-ECL-2025-2026,RPT-SCR-01185-01,OISAC_SCR01185,fiber,4,2,no,no,no,no
STC-EADO-OFDM-RANGING-2024-2025,RPT-SCR-00956-01,OISAC_SCR00956,FSO,2,1,no,no,no,no
STC-ENDOGENOUS-TS-FRFT-DAS-2025,RPT-SCR-00072-01,OISAC_SCR00072,fiber,4,2,no,no,no,no
STC-FRDM-POLARIZATION-SENSING-2025-2026,RPT-SCR-00220-01,OISAC_SCR00220,fiber,4,2,no,no,no,no
STC-ICP-RL-HLLB-3650KM-2024-2025,RPT-SCR-01100-01,OISAC_SCR01100,fiber,4,2,no,no,no,no
STC-III-NITRIDE-MOTION-VLC-2023,RPT-SCR-00763-01,OISAC_SCR00763,VLC_LiFi,5,2,no,no,no,no
STC-LED-OISAC-2024-2025,RPT-SCR-00901-01,OISAC_SCR00901,VLC_LiFi,2,1,no,no,no,no
STC-MMW-OFDM-PENG-2023-2024,RPT-SCR-00889-01,OISAC_SCR00889,photonic_THz,4,2,no,no,no,no
STC-MULTICHANNEL-LFM-QAM-THZ-2024-2026,RPT-SCR-00988-01,OISAC_SCR00988,photonic_THz,5,2,no,no,no,no
STC-OCDM-THZ-OVER-FIBER-2024-2025,RPT-SCR-00993-01,OISAC_SCR00993,photonic_THz,4,2,no,no,no,no
STC-ODDM-PHOTONIC-MMW-2024-2025,RPT-SCR-00973-01,OISAC_SCR00973,photonic_THz,5,2,no,no,no,no
STC-OPA-OWISAC-BEAMFORMING-2024-2025,RPT-SCR-00940-01,OISAC_SCR00940,FSO,3,2,no,no,no,no
STC-REALTIME-BIDIR-DMT-THZ-2024-2026,RPT-SCR-01054-01,OISAC_SCR01054,photonic_THz,6,3,yes,yes,yes,yes
STC-SELF-HOMODYNE-MCF-OFDR-2024-2025,RPT-SCR-01015-01,OISAC_SCR01015,fiber,4,2,no,no,no,no
STC-SEVENCORE-COMB-SH-DAS-2024-2025,RPT-SCR-00346-01,OISAC_SCR00346,fiber,5,2,no,no,no,no
STC-SF-LFM-OFDM-THZ-2025-2026,RPT-SCR-00978-01,OISAC_SCR00978,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00001,RPT-SCR-00001-01,OISAC_SCR00001,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00002,RPT-SCR-00002-01,OISAC_SCR00002,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00007,RPT-SCR-00007-01,OISAC_SCR00007,fiber,2,1,no,no,no,no
STC-SINGLETON-SCR-00008,RPT-SCR-00008-01,OISAC_SCR00008,fiber,2,1,no,no,no,no
STC-SINGLETON-SCR-00009,RPT-SCR-00009-01,OISAC_SCR00009,hybrid_optical,2,1,no,no,no,no
STC-SINGLETON-SCR-00011,RPT-SCR-00011-01,OISAC_SCR00011,FSO,4,2,no,no,no,no
STC-SINGLETON-SCR-00012,RPT-SCR-00012-01,OISAC_SCR00012,FSO,5,2,no,no,no,no
STC-SINGLETON-SCR-00013,RPT-SCR-00013-01,OISAC_SCR00013,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00015,RPT-SCR-00015-01,OISAC_SCR00015,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00036,RPT-SCR-00036-01,OISAC_SCR00036,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00038,RPT-SCR-00038-01,OISAC_SCR00038,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00052,RPT-SCR-00052-01,OISAC_SCR00052,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00056,RPT-SCR-00056-01,OISAC_SCR00056,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00057,RPT-SCR-00057-01,OISAC_SCR00057,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00086,RPT-SCR-00086-01,OISAC_SCR00086,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00091,RPT-SCR-00091-01,OISAC_SCR00091,hybrid_optical,2,1,no,no,no,no
STC-SINGLETON-SCR-00110,RPT-SCR-00110-01,OISAC_SCR00110,VLC_LiFi,4,2,no,no,no,no
STC-SINGLETON-SCR-00123,RPT-SCR-00123-01,OISAC_SCR00123,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00151,RPT-SCR-00151-01,OISAC_SCR00151,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00160,RPT-SCR-00160-01,OISAC_SCR00160,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00177,RPT-SCR-00177-01,OISAC_SCR00177,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00185,RPT-SCR-00185-01,OISAC_SCR00185,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00189,RPT-SCR-00189-01,OISAC_SCR00189,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00196,RPT-SCR-00196-01,OISAC_SCR00196,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00210,RPT-SCR-00210-01,OISAC_SCR00210,hybrid_optical,5,2,no,no,no,no
STC-SINGLETON-SCR-00218,RPT-SCR-00218-01,OISAC_SCR00218,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00233,RPT-SCR-00233-01,OISAC_SCR00233,FSO,2,1,no,no,no,no
STC-SINGLETON-SCR-00238,RPT-SCR-00238-01,OISAC_SCR00238,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00256,RPT-SCR-00256-01,OISAC_SCR00256,FSO,2,1,no,no,no,no
STC-SINGLETON-SCR-00268,RPT-SCR-00268-01,OISAC_SCR00268,other_optical,5,2,no,no,no,no
STC-SINGLETON-SCR-00273,RPT-SCR-00273-01,OISAC_SCR00273,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00274,RPT-SCR-00274-01,OISAC_SCR00274,photonic_THz,2,1,no,no,no,no
STC-SINGLETON-SCR-00277,RPT-SCR-00277-01,OISAC_SCR00277,hybrid_optical,2,1,no,no,no,no
STC-SINGLETON-SCR-00278,RPT-SCR-00278-01,OISAC_SCR00278,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00294,RPT-SCR-00294-01,OISAC_SCR00294,VLC_LiFi,5,2,no,no,no,no
