study_id,companion_report_id,companion_screening_record_id,companion_report_citation_key,metric_record_id,metric_domain,metric_family_code,metric_name_reported,value_numeric,value_low,value_high,unit_reported,condition_set_id,scenario_summary,baseline_comparator,source_locator,conflict_flag,final_claim_status,final_survey_use_class,final_comparison_admissibility,cross_study_quantitative_comparison_allowed,final_reason_code,synthesis_use_gate,guardrail_instruction
STC-ENDOGENOUS-TS-FRFT-DAS-2025,RPT-SCR-00099-01,SCR-00099,OISAC_SCR00099,MET-STCENDOGENOUS-G2-018,communication,SNR,FrFT peak-to-noise-floor ratio,39.8,,,dB,COND-ENDOGENOUS-FRFT-COMPANION,Conference-report matched FrFT extraction.,,PDF p. 1-2; Principle; Fig. 1(d),yes_report_specific_difference,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
STC-ENDOGENOUS-TS-FRFT-DAS-2025,RPT-SCR-00099-01,SCR-00099,OISAC_SCR00099,MET-STCENDOGENOUS-G2-019,communication,other,Peak-to-side-lobe ratio,31.1,,,dB,COND-ENDOGENOUS-FRFT-COMPANION,Conference-report FrFT peak.,,PDF p. 1-2; Principle; Fig. 1(e),yes_report_specific_difference,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
STC-ENDOGENOUS-TS-FRFT-DAS-2025,RPT-SCR-00099-01,SCR-00099,OISAC_SCR00099,MET-STCENDOGENOUS-G2-020,sensing,other,Lowest synthesized intensity above noise floor,4.9,,,dB,COND-ENDOGENOUS-FADING-COMPANION,Dual chirp TS/dual FrFT conference result.,,PDF p. 3; Experimental results; Fig. 3(e),yes_report_specific_difference,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
STC-ENDOGENOUS-TS-FRFT-DAS-2025,RPT-SCR-00099-01,SCR-00099,OISAC_SCR00099,MET-STCENDOGENOUS-G2-021,sensing,other,Companion intensity-fluctuation reduction,,,,dB,COND-ENDOGENOUS-FADING-COMPANION,Conference companion fading comparison.,,PDF p. 3; Experimental results; Conclusions; Fig. 3(e),yes_report_specific_difference,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
STC-ENDOGENOUS-TS-FRFT-DAS-2025,RPT-SCR-00099-01,SCR-00099,OISAC_SCR00099,MET-STCENDOGENOUS-G2-022,sensing,sensing_SNR,500-Hz vibration PSD SNR,20.3,,,dB,COND-ENDOGENOUS-VIBRATION-COMPANION,500-Hz vibration; 1-m resolution.,,PDF p. 3; Experimental results; Fig. 3(h),yes_report_specific_difference,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
STC-TUNABLE-LASER-THZ-FMCW-2025-2026,RPT-SCR-00553-01,SCR-00553,OISAC_SCR00553,P03-M001,joint,optical_frequency,RTF-LD optical sweep range,,192.5132,192.5227,THz,C-SCR00553-JW,2025 joint waveform,,PDF p. 2; Experiment,yes,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
STC-TUNABLE-LASER-THZ-FMCW-2025-2026,RPT-SCR-00553-01,SCR-00553,OISAC_SCR00553,P03-M002,sensing,FMCW_bandwidth,FMCW sweep bandwidth,9.5,,,GHz,C-SCR00553-JW,2025 joint waveform,,PDF p. 1-2; Abstract; Results; Figure 2,yes,supported_with_source_specific_guardrail,eligible_quantitative,conditionally_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
STC-TUNABLE-LASER-THZ-FMCW-2025-2026,RPT-SCR-00553-01,SCR-00553,OISAC_SCR00553,P03-M003,joint,THz_frequency,Generated THz frequency range,,296.2,305.7,GHz,C-SCR00553-JW,2025 joint waveform,,PDF p. 2; Results and Discussions; Figure 2,yes,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
STC-TUNABLE-LASER-THZ-FMCW-2025-2026,RPT-SCR-00553-01,SCR-00553,OISAC_SCR00553,P03-M007,communication,data_rate,ASK data rate,10,,,Gbit/s,C-SCR00553-JW-R10,2025 joint waveform,,PDF p. 1-2; Abstract; Results; Figure 3a,yes,supported_with_source_specific_guardrail,eligible_quantitative,conditionally_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
STC-TUNABLE-LASER-THZ-FMCW-2025-2026,RPT-SCR-00553-01,SCR-00553,OISAC_SCR00553,P03-M008,communication,BER,Bit error rate at 10 Gbit/s,1e-13,,,dimensionless,C-SCR00553-JW-R10,2025 joint waveform,,PDF p. 1-2; Abstract; Results; Figure 3a,yes,supported_with_source_specific_guardrail,eligible_quantitative,conditionally_admissible,no,metric_scope_or_definition_guardrail,retain_report_specific_only,"Keep this value report specific; do not merge, average, substitute, or normalize it across primary and companion reports."
