study_id,study_citation_key,report_id,screening_record_id,report_citation_key,report_citation_command,report_evidence_role,report_relation_code,report_role,title,authors,year,venue,doi,source_url,document_type,extracted_evidence_row_count,extracted_metric_row_count,governed_tradeoff_row_count,report_specific_guardrail_metric_count,pending_human_token_count_all_statuses,pending_human_token_resolved_or_approved_count,unresolved_pending_human_row_count,unresolved_pending_human_row_count_companion_lineage_gate,synthesis_use_gate,provenance_status,provenance_note
STC-ACO-OFDM-LFM-LIDAR-2025,OISAC_SCR01115,RPT-SCR-01115-01,SCR-01115,OISAC_SCR01115,\cite{OISAC_SCR01115},primary_source,RPT02,primary_report,Integrated Design of OFDM-LFM Lidar Communication in IoV Environment,G. Zhou; M. Cao; Q. Yang; Y. Zhang; S. Han; H. Wang,2024,"2024 IEEE 12th International Conference on Information, Communication and Networks (ICICN)",10.1109/icicn62625.2024.10761294,https://doi.org/10.1109/icicn62625.2024.10761294,IEEE Conferences,12,27,2,0,0,0,0,0,eligible_with_study_context,complete,"Source SCR-01115 supplies 12 evidence, 27 metric, and 2 governed tradeoff rows; use gate: eligible_with_study_context."
STC-DP-IMDD-THZ-RANGING-2025-2026,OISAC_SCR00989,RPT-SCR-00989-01,SCR-00989,OISAC_SCR00989,\cite{OISAC_SCR00989},primary_source,RPT02,journal_version,310Gbps Transmission and Centimeter-Level Ranging Photonic THz ISAC System,D. Shi; W. Lu; Y. Fang; P. Yuan; H. Zhu; L. Pang; W. Shieh,2026,Journal of Lightwave Technology,10.1109/jlt.2026.3694092,https://doi.org/10.1109/jlt.2026.3694092,IEEE Early Access Articles,13,19,0,0,0,0,0,0,eligible_with_study_context,complete,"Source SCR-00989 supplies 13 evidence, 19 metric, and 0 governed tradeoff rows; use gate: eligible_with_study_context."
STC-DP-IMDD-THZ-RANGING-2025-2026,OISAC_SCR00989,RPT-SCR-00933-01,SCR-00933,OISAC_SCR00933,\cite{OISAC_SCR00933},supplementary_source,RPT02,conference_version,310Gbps Integrated Sensing and Communication Dual-Polarization IM/DD Photonic THz System,D. Shi; W. Lu; Y. Fang; P. Yuan; H. Zhu; W. Shieh,2026,2026 Optical Fiber Communications Conference and Exhibition (OFC),,https://ieeexplore.ieee.org/document/11525332,IEEE Conferences,3,1,0,0,0,0,0,0,eligible_with_study_context,complete,"Source SCR-00933 supplies 3 evidence, 1 metric, and 0 governed tradeoff rows; use gate: eligible_with_study_context."
STC-DSCM-ANN-DT-ECL-2025-2026,OISAC_SCR01185,RPT-SCR-01185-01,SCR-01185,OISAC_SCR01185,\cite{OISAC_SCR01185},primary_source,RPT02,journal_version,Machine-learning-enhanced phase-based vibration sensing in coherent DSCM systems under commercial ECLs,Bang YangJianwei TangLinsheng FanJinlong WeiYanfu Yang,2026,Science China Information Sciences,10.1007/s11432-025-4902-8,https://doi.org/10.1007/s11432-025-4902-8,Article,12,43,3,0,0,0,0,0,eligible_with_study_context,complete,"Source SCR-01185 supplies 12 evidence, 43 metric, and 3 governed tradeoff rows; use gate: eligible_with_study_context."
STC-DSCM-ANN-DT-ECL-2025-2026,OISAC_SCR01185,RPT-SCR-00722-01,SCR-00722,OISAC_SCR00722,\cite{OISAC_SCR00722},supplementary_source,RPT02,conference_version,Integrated Vibration Sensing in DSCM Systems Under ECLs Based on ANN and Digital Twin,Yang B.; Wang S.; Tang J.; Yang Y.,2025,"2025 23rd International Conference on Optical Communications and Networks, ICOCN 2025",10.1109/icocn67308.2025.11145413,https://doi.org/10.1109/icocn67308.2025.11145413,Conference paper,2,7,0,0,0,0,0,0,eligible_with_study_context,complete,"Source SCR-00722 supplies 2 evidence, 7 metric, and 0 governed tradeoff rows; use gate: eligible_with_study_context."
STC-EADO-OFDM-RANGING-2024-2025,OISAC_SCR00956,RPT-SCR-00956-01,SCR-00956,OISAC_SCR00956,\cite{OISAC_SCR00956},primary_source,RPT02,journal_version,Optical Wireless Integrated Sensing and Communication Based on EADO-OFDM: A Flexible Resource Allocation Perspective,Y. Wen; F. Yang; J. Song; Z. Han,2025,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3557061,https://doi.org/10.1109/twc.2025.3557061,IEEE Journals,12,26,2,0,0,0,0,0,eligible_with_study_context,complete,"Source SCR-00956 supplies 12 evidence, 26 metric, and 2 governed tradeoff rows; use gate: eligible_with_study_context."
STC-EADO-OFDM-RANGING-2024-2025,OISAC_SCR00956,RPT-SCR-00955-01,SCR-00955,OISAC_SCR00955,\cite{OISAC_SCR00955},supplementary_source,RPT02,conference_version,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,Y. Wen; F. Yang; J. Song; Z. Han,2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,10.1109/globecom52923.2024.10901628,https://doi.org/10.1109/globecom52923.2024.10901628,IEEE Conferences,4,7,1,0,0,0,0,0,eligible_with_study_context,complete,"Source SCR-00955 supplies 4 evidence, 7 metric, and 1 governed tradeoff rows; use gate: eligible_with_study_context."
STC-ENDOGENOUS-TS-FRFT-DAS-2025,OISAC_SCR00072,RPT-SCR-00072-01,SCR-00072,OISAC_SCR00072,\cite{OISAC_SCR00072},primary_source,RPT02,canonical_journal_report,Endogenous integration of communication and interference fading free sensing using telecom pilots via joint polarization-fraction domain multiplexing,Wang L.; Wang Y.; Lin Z.; Yu H.; Li Y.; Lu C.; Yu C.; Tang M.,2025,Optics Express,10.1364/oe.563557,https://doi.org/10.1364/oe.563557,Article,8,17,2,7,0,0,0,0,report_specific_guardrail,complete,"Source SCR-00072 supplies 8 evidence, 17 metric, and 2 governed tradeoff rows; use gate: report_specific_guardrail."
STC-ENDOGENOUS-TS-FRFT-DAS-2025,OISAC_SCR00072,RPT-SCR-00099-01,SCR-00099,OISAC_SCR00099,\cite{OISAC_SCR00099},supplementary_source,RPT02,conference_companion_report,Endogenous ISAC Enabled Interference Fading Free Sensing via Telecom Training Sequence,Wang Y.; Wang L.; Lin Z.; Lu C.; Tang M.; Yu C.,2025,"Opto-Electronics and Communications Conference, OECC",10.23919/oecc/psc62146.2025.11110297,https://doi.org/10.23919/oecc/psc62146.2025.11110297,Conference paper,2,5,1,5,0,0,0,0,report_specific_guardrail,complete,"Source SCR-00099 supplies 2 evidence, 5 metric, and 1 governed tradeoff rows; use gate: report_specific_guardrail."
STC-FRDM-POLARIZATION-SENSING-2025-2026,OISAC_SCR00220,RPT-SCR-00220-01,SCR-00220,OISAC_SCR00220,\cite{OISAC_SCR00220},primary_source,RPT02,canonical_journal_report,Integrated Communication and In-Band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access,Wang L.; Wang Y.; Li Y.; Lin Z.; Wei Z.; Lu C.; Yu C.; Tang M.,2026,Journal of Lightwave Technology,10.1109/jlt.2025.3625373,https://doi.org/10.1109/jlt.2025.3625373,Article,9,17,1,1,10,0,9,0,report_specific_guardrail,complete,"Source SCR-00220 supplies 9 evidence, 17 metric, and 1 governed tradeoff rows; use gate: report_specific_guardrail."
